tese,hook,codigo,nome_tese,copy,arquivo_base
"5","5","ansiedad","Ansiedad por comer","El impulso aparece rápido. Entenderlo puede cambiar tu respuesta.","05-05-ansiedad-el-impulso-aparece-rapido-entenderlo-puede-cam"
"6","1","ciclo","Volver a empezar","Cada lunes vuelves a empezar.","06-01-ciclo-cada-lunes-vuelves-a-empezar"
"6","2","ciclo","Volver a empezar","Comes. Te arrepientes. Intentas controlarte. Y vuelves a empezar.","06-02-ciclo-comes-te-arrepientes-intentas-controlarte-y-vu"
"6","3","ciclo","Volver a empezar","Quizá el problema sea volver a empezar cada vez.","06-03-ciclo-quiza-el-problema-sea-volver-a-empezar-cada-ve"
"6","4","ciclo","Volver a empezar","Un momento difícil no tiene por qué convertirse en una semana perdida.","06-04-ciclo-un-momento-dificil-no-tiene-por-que-convertirs"
"6","5","ciclo","Volver a empezar","¿Y si esta vez no empezaras de cero, sino desde lo que has entendido?","06-05-ciclo-y-si-esta-vez-no-empezaras-de-cero-sino-desde-"
"7","1","relacion","Menos lucha, más comprensión","Comer no debería sentirse como una pelea contigo misma.","07-01-relacion-comer-no-deberia-sentirse-como-una-pelea-conti"
"7","2","relacion","Menos lucha, más comprensión","¿Cuánto tiempo llevas intentando controlarte con la comida?","07-02-relacion-cuanto-tiempo-llevas-intentando-controlarte-co"
"7","3","relacion","Menos lucha, más comprensión","Tal vez no necesitas controlar más la comida. Necesitas entenderte mejor.","07-03-relacion-tal-vez-no-necesitas-controlar-mas-la-comida-n"
"7","4","relacion","Menos lucha, más comprensión","No todo impulso necesita una prohibición. Algunos necesitan una explicación.","07-04-relacion-no-todo-impulso-necesita-una-prohibicion-algun"
"7","5","relacion","Menos lucha, más comprensión","La calma con la comida no empieza con otra regla.","07-05-relacion-la-calma-con-la-comida-no-empieza-con-otra-reg"
"8","1","momento","Ayuda en el momento","El problema ocurre a las 22:17. Tu nutricionista no está contigo a las 22:17.","08-01-momento-el-problema-ocurre-a-las-22-17-tu-nutricionist"
"8","2","momento","Ayuda en el momento","Cuando aparece el impulso de comer, necesitas ayuda en ese momento.","08-02-momento-cuando-aparece-el-impulso-de-comer-necesitas-a"
"8","3","momento","Ayuda en el momento","LIA no te explica qué hacer mañana. Te acompaña cuando ocurre.","08-03-momento-lia-no-te-explica-que-hacer-manana-te-acompana"
"8","4","momento","Ayuda en el momento","El impulso aparece ahora. La ayuda también debería estar disponible ahora.","08-04-momento-el-impulso-aparece-ahora-la-ayuda-tambien-debe"
"8","5","momento","Ayuda en el momento","No cuando ya ha pasado. En el momento en que ocurre.","08-05-momento-no-cuando-ya-ha-pasado-en-el-momento-en-que-oc"
